symbol	address	ref_from	ref_type	function	function_entry
PORTAUDIO_X64.DLL::Pa_GetHostApiCount	EXTERNAL:00000029	1400360f9	COMPUTED_JUMP	Pa_GetHostApiCount	1400360f9
WPCAP.DLL::pcap_findalldevs_ex	EXTERNAL:0000002a	1400436e8	DATA		
WPCAP.DLL::pcap_findalldevs_ex	EXTERNAL:0000002a	140036189	COMPUTED_JUMP	pcap_findalldevs_ex	140036189
WPCAP.DLL::pcap_setmintocopy	EXTERNAL:0000002b	1400436f0	DATA		
WPCAP.DLL::pcap_setmintocopy	EXTERNAL:0000002b	140036183	COMPUTED_JUMP	pcap_setmintocopy	140036183
WPCAP.DLL::pcap_freealldevs	EXTERNAL:0000002c	1400436f8	DATA		
WPCAP.DLL::pcap_freealldevs	EXTERNAL:0000002c	14003617d	COMPUTED_JUMP	pcap_freealldevs	14003617d
WPCAP.DLL::pcap_compile	EXTERNAL:0000002d	140043700	DATA		
WPCAP.DLL::pcap_compile	EXTERNAL:0000002d	140036177	COMPUTED_JUMP	pcap_compile	140036177
WPCAP.DLL::pcap_setfilter	EXTERNAL:0000002e	140043708	DATA		
WPCAP.DLL::pcap_setfilter	EXTERNAL:0000002e	140036171	COMPUTED_JUMP	pcap_setfilter	140036171
WPCAP.DLL::pcap_next_ex	EXTERNAL:0000002f	140043710	DATA		
WPCAP.DLL::pcap_next_ex	EXTERNAL:0000002f	14003616b	COMPUTED_JUMP	pcap_next_ex	14003616b
WPCAP.DLL::pcap_sendqueue_transmit	EXTERNAL:00000030	140043718	DATA		
WPCAP.DLL::pcap_sendqueue_transmit	EXTERNAL:00000030	140036165	COMPUTED_JUMP	pcap_sendqueue_transmit	140036165
WPCAP.DLL::pcap_sendqueue_queue	EXTERNAL:00000031	140043720	DATA		
WPCAP.DLL::pcap_sendqueue_queue	EXTERNAL:00000031	14003615f	COMPUTED_JUMP	pcap_sendqueue_queue	14003615f
WPCAP.DLL::pcap_sendqueue_destroy	EXTERNAL:00000032	140043728	DATA		
WPCAP.DLL::pcap_sendqueue_destroy	EXTERNAL:00000032	140036159	COMPUTED_JUMP	pcap_sendqueue_destroy	140036159
WPCAP.DLL::pcap_findalldevs	EXTERNAL:00000033	140043730	DATA		
WPCAP.DLL::pcap_findalldevs	EXTERNAL:00000033	140036147	COMPUTED_JUMP	pcap_findalldevs	140036147
WPCAP.DLL::pcap_close	EXTERNAL:00000034	140043738	DATA		
WPCAP.DLL::pcap_close	EXTERNAL:00000034	14003613b	COMPUTED_JUMP	pcap_close	14003613b
WPCAP.DLL::pcap_sendpacket	EXTERNAL:00000035	140043740	DATA		
